,City,Country,Max Temp,Lat,Lng,Hotel Name
563,Gambela,ET,82.94,8.25,34.5833,Solomon Debebe Hotel
566,Saint-Leu,RE,81.46,-21.15,55.2833,La Caz Oceane
568,Kununurra,AU,93.18,-15.7667,128.7333,Hotel Kununurra
576,Tabou,CI,75.76,4.423,-7.3528,hotêl doufoulougou
587,Lasem,ID,85.87,-6.6922,111.4527,"Nyah Lasem | Museum, Warung & Community Center"
588,Bacolod,PH,87.19,10.6667,122.95,Planta Hotel & Residences
591,Auki,SB,79.66,-8.7676,160.7034,Auki Motel
602,Alibag,IN,84.27,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
603,Abu Dhabi,AE,78.96,24.4667,54.3667,Beach Rotana
604,Barroquinha,BR,75.27,-3.0189,-41.1361,Pousada Fontenele
606,Camocim,BR,77.25,-2.9022,-40.8411,Ilha Praia Hotel
608,Iquitos,PE,75.24,-3.7481,-73.2472,Cortez Malaga Techy Caroly
609,Biak,ID,83.39,-0.9131,122.8766,Penginapan Kim
610,Broken Hill,AU,75.54,-31.95,141.4333,Royal Exchange Hotel
618,Sweetwater,US,78.03,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
622,Da Nang,VN,87.78,16.0678,108.2208,Grand Mercure Danang
626,Muli,MV,80.74,2.9167,73.5667,Medhufushi Island Resort
631,Bontang,ID,84.96,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
632,Davila,PH,85.98,18.4726,120.5763,Blue Ridge Beach Resort
635,Sibolga,ID,81.23,1.7427,98.7792,Hotel Syariah CN Darussalam
641,Kupang,ID,88.38,-10.1667,123.5833,Hotel On The Rock by Prasanthi
644,Kencong,ID,81.28,-8.2833,113.3667,GUBUK SUGIANTO
649,Doha,QA,80.58,25.2867,51.5333,Mövenpick Doha
653,Saint-Pierre,RE,82.08,-21.3393,55.4781,Alize Plage
661,Cordoba,AR,76.19,-31.4135,-64.1811,Hotel Sussex
663,Eyl,SO,81.81,7.9803,49.8164,EYL AQUE SYSTEM
