City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Santa Cruz,BO,2022-11-29 05:20:36,-17.8,-63.1667,72.86,56,43,6.91
59,Hasaki,JP,2022-11-29 05:20:36,35.7333,140.8333,72.28,71,95,28.1
60,Barrow,US,2022-11-29 05:20:37,71.2906,-156.7887,-11.18,77,100,9.22
61,Majene,ID,2022-11-29 05:20:37,-3.5403,118.9707,86.77,64,89,7.47
62,Rawson,AR,2022-11-29 05:20:37,-43.3002,-65.1023,71.26,34,30,15.5
63,Ribeira Grande,PT,2022-11-29 05:20:38,38.5167,-28.7,65.77,92,11,8.01
64,Thompson,CA,2022-11-29 05:19:11,55.7435,-97.8558,15.96,86,100,19.57
65,Nanortalik,GL,2022-11-29 05:20:38,60.1432,-45.2371,33.44,99,100,9.48
66,Salinas,US,2022-11-29 05:20:38,36.6777,-121.6555,52.83,76,0,8.05
67,Tazovskiy,RU,2022-11-29 05:20:39,67.4667,78.7,9.48,96,100,5.26
68,Chuy,UY,2022-11-29 05:20:39,-33.6971,-53.4616,65.3,95,31,8.95
69,Mataura,NZ,2022-11-29 05:20:39,-46.1927,168.8643,59.49,58,95,4.65
70,Seydi,TM,2022-11-29 05:20:40,39.4816,62.9137,49.26,38,99,1.45
71,Warri,NG,2022-11-29 05:20:40,5.5167,5.75,75.06,87,41,0.47
72,Klaksvik,FO,2022-11-29 05:20:40,62.2266,-6.589,45.52,87,9,8.84
73,Saint-Philippe,RE,2022-11-29 05:20:41,-21.3585,55.7679,81.99,77,88,7.31
74,Castro,BR,2022-11-29 05:19:27,-24.7911,-50.0119,59.25,99,100,5.95
75,Bambous Virieux,MU,2022-11-29 05:20:41,-20.3428,57.7575,82.65,69,75,12.66
76,Torbay,CA,2022-11-29 05:18:39,47.6666,-52.7314,43.75,96,100,26.46
77,Poronaysk,RU,2022-11-29 05:20:41,49.2167,143.1167,32.56,99,100,18.07
78,Rio Grande,BR,2022-11-29 05:20:42,-32.035,-52.0986,67.96,85,0,14.14
79,Port Elizabeth,ZA,2022-11-29 05:20:42,-33.918,25.5701,70.32,80,20,11.5
80,Ostrovnoy,RU,2022-11-29 05:20:42,68.0531,39.5131,31.77,88,100,6.4
81,Zinder,NE,2022-11-29 05:20:43,13.8072,8.9881,64.36,32,0,9.22
82,Mount Isa,AU,2022-11-29 05:20:43,-20.7333,139.5,94.77,12,83,12.66
83,Ambilobe,MG,2022-11-29 05:20:43,-13.2,49.05,83.32,53,0,1.25
84,Dikson,RU,2022-11-29 05:20:44,73.5069,80.5464,-3.42,100,71,5.06
85,Hermanus,ZA,2022-11-29 05:20:44,-34.4187,19.2345,67.8,62,49,4.56
86,Marawi,PH,2022-11-29 05:20:44,7.9986,124.2928,80.83,64,92,7.56
87,Shaowu,CN,2022-11-29 05:20:45,27.3409,117.4831,64.04,96,100,5.3
88,Upernavik,GL,2022-11-29 05:17:30,72.7868,-56.1549,7.27,99,100,20.0
89,Cape Town,ZA,2022-11-29 05:17:31,-33.9258,18.4232,74.37,69,0,13.0
90,Puerto Ayora,EC,2022-11-29 05:16:48,-0.7393,-90.3518,70.56,89,48,5.01
91,Samarai,PG,2022-11-29 05:21:45,-10.6167,150.6667,84.87,71,82,4.99
92,Khorixas,NA,2022-11-29 05:21:46,-20.3667,14.9667,64.78,20,100,2.21
93,Tiksi,RU,2022-11-29 05:21:46,71.6872,128.8694,-28.21,99,45,7.4
94,Wuwei,CN,2022-11-29 05:21:46,37.9281,102.6414,11.16,23,90,3.76
95,Altamira,BR,2022-11-29 05:19:16,-3.2033,-52.2064,77.4,70,88,2.04
96,La Ronge,CA,2022-11-29 05:21:47,55.1001,-105.2842,17.85,79,100,17.27
97,Paita,PE,2022-11-29 05:21:47,-5.0892,-81.1144,65.97,84,21,7.27
98,Iqaluit,CA,2022-11-29 05:18:22,63.7506,-68.5145,-4.27,77,100,20.71
99,Sarnia,CA,2022-11-29 05:21:48,42.9787,-82.4041,37.94,75,100,6.91
100,Marrakesh,MA,2022-11-29 05:21:48,31.6315,-8.0083,48.27,61,0,4.61
101,Te Anau,NZ,2022-11-29 05:21:48,-45.4167,167.7167,53.04,96,100,4.68
102,Wattegama,LK,2022-11-29 05:21:48,6.7989,81.4808,84.16,60,88,7.02
103,Dunedin,NZ,2022-11-29 05:19:27,-45.8742,170.5036,57.79,85,100,10.36
104,Katsuura,JP,2022-11-29 05:21:49,35.1333,140.3,70.14,72,79,25.08
